,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Be the One,Dua Lipa,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32e-05,0.056,0.368,87.46,202915,4
1,Better When You're Gone,David Guetta,0.647,0.795,1,-3.548,0,0.0372,0.0635,0.0,0.188,0.409,127.992,192402,4
2,Billionaire (feat. Bruno Mars),Travie McCoy,0.633,0.673,6,-6.403,0,0.258,0.297,0.0,0.206,0.659,86.776,211160,4
3,Birds,Imagine Dragons,0.649,0.517,1,-7.428,0,0.0297,0.0146,1.63e-06,0.145,0.35,119.997,219440,4
4,Birthday,Anne-Marie,0.609,0.785,11,-3.32,1,0.0891,0.0502,0.0,0.171,0.756,151.995,181467,4
5,Bitch Better Have My Money,Rihanna,0.781,0.728,1,-4.981,1,0.0621,0.0509,1.94e-06,0.257,0.395,102.99,219306,4
6,Black Magic,Little Mix,0.777,0.895,4,-4.464,1,0.0618,0.0348,0.0,0.317,0.826,111.987,211773,4
7,Blackout,Breathe Carolina,0.662,0.819,6,-4.609,1,0.124,0.00537,0.0,0.0498,0.801,122.951,210200,4
8,Black Widow,Iggy Azalea,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,209423,4
9,Blah Blah Blah,Armin van Buuren,0.612,0.963,5,-3.912,0,0.0531,0.00897,0.00378,0.294,0.179,138.009,183519,4
10,Blame (feat. John Newman),Calvin Harris,0.414,0.857,0,-4.078,0,0.0808,0.0287,0.00574,0.343,0.348,128.024,212960,4
11,Blame It on Me,George Ezra,0.544,0.745,3,-3.401,1,0.0276,0.439,0.0,0.348,0.455,103.971,195547,4
12,Blank Space,Taylor Swift,0.752,0.678,5,-5.421,1,0.0646,0.085,1.64e-06,0.13,0.583,96.009,231827,4
13,Blind Faith,Chase & Status,0.45,0.846,9,-4.712,0,0.0472,0.00523,0.0,0.228,0.402,140.042,233667,4
14,Blinding Lights,The Weeknd,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,201573,4
15,Blow It - Radio Edit,Federico Scavo,0.794,0.707,10,-3.914,0,0.059,0.000159,0.546,0.193,0.861,127.923,184219,4
16,Blow Your Mind (Mwah),Dua Lipa,0.654,0.796,2,-4.761,0,0.122,0.0188,0.0,0.0948,0.491,108.854,178583,4
17,BLUE,Tiësto,0.744,0.725,11,-6.055,1,0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859,4
18,Blurred Lines,Robin Thicke,0.862,0.503,7,-7.703,1,0.0494,0.00453,1.87e-05,0.0761,0.863,119.998,263053,4
19,Body,Loud Luxury,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44e-05,0.0543,0.582,121.958,163216,4
20,Body Like A Back Road,Sam Hunt,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,165387,4
21,Bones (feat. OneRepublic),Galantis,0.658,0.804,0,-5.735,1,0.0377,0.00463,0.0,0.178,0.508,120.047,205793,4
22,Bonfire (feat. ALMA),Felix Jaehn,0.766,0.782,10,-3.92,1,0.105,0.0544,3.69e-05,0.084,0.359,111.05,183000,4
23,Boom Clap,Charli XCX,0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,169866,4
24,Boomerang,Imagine Dragons,0.429,0.559,2,-7.493,1,0.152,0.139,0.00928,0.121,0.347,100.073,187800,4
25,"Boom (feat. MOTi, Ty Dolla $ign, Wizkid & Kranium)",Major Lazer,0.704,0.784,7,-4.463,0,0.142,0.00283,0.0,0.419,0.656,100.083,186448,4
26,Born To Be Yours,Kygo,0.688,0.688,3,-5.84,1,0.0357,0.3,0.0,0.0982,0.451,114.011,193321,4
27,Break Free,Ariana Grande,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,214840,4
28,Breaking Me,Topic,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,166794,4
29,Break My Face,AJR,0.451,0.661,10,-6.961,0,0.0976,0.00321,0.0,0.108,0.444,180.133,226336,4
30,Break My Heart,Dua Lipa,0.73,0.729,4,-3.434,0,0.0886,0.167,1.39e-06,0.349,0.467,113.012,221820,4
31,Break the Rules,Charli XCX,0.676,0.926,0,-2.244,0,0.0425,0.0305,0.000658,0.0771,0.818,124.019,203908,4
32,Breathe,Seeb,0.508,0.754,7,-5.708,0,0.185,0.00597,8.43e-06,0.307,0.383,119.892,240272,4
33,Breathe (feat. Ina Wroldsen),Jax Jones,0.724,0.733,11,-5.539,0,0.0382,0.0249,0.000318,0.127,0.672,125.993,208107,4
34,Brighter Days,Sigala,0.668,0.9,1,-3.184,0,0.0444,0.0224,4.81e-05,0.155,0.256,125.056,237320,4
35,Bring It Back,Shawn Mendes,0.466,0.448,11,-7.173,0,0.0327,0.158,0.0,0.127,0.27,79.306,159787,4
36,Broken Glass,Kygo,0.526,0.633,7,-7.002,1,0.134,0.372,0.0,0.129,0.272,171.044,203947,3
37,Brokenhearted,Karmin,0.765,0.765,1,-2.732,0,0.0585,0.00765,3.82e-06,0.0527,0.886,120.001,227147,4
38,Brother,Kodaline,0.519,0.625,10,-5.909,1,0.0482,0.349,0.0,0.121,0.21,120.103,203187,4
